"Temperature 
(°C)";"Relative 
Viscosity"; (%);;;;
24.94645793;1.077714286;0.05;;;;
34.96915851;1.060571429;0.05;;;;
44.9918591;1.043428571;0.05;;;;
55.01643836;1.033142857;0.05;;;;
64.96023483;1.028;0.05;;;;
25.04039139;1.120571429;0.1;;;;
55.02818004;1.076;0.1;;;;
65.05369863;1.069142857;0.1;;;;
35.06356164;1.105142857;0.1;;;;
45.0853229;1.084571429;0.1;;;;
25.05448141;1.172;0.2;;;;
34.99592955;1.158285714;0.2;;;;
45.01722114;1.136;0.2;;;;
55.04227006;1.127428571;0.2;;;;
64.98559687;1.120571429;0.2;;;;
25.07843444;1.259428571;0.4;;;;
35.01518591;1.228571429;0.4;;;;
45.11960861;1.209714286;0.4;;;;
55.06152642;1.197714286;0.4;;;;
65.08093933;1.168571429;0.4;;;;
25.11553816;1.394857143;0.8;;;;
35.05181996;1.362285714;0.8;;;;
55.0962818;1.324571429;0.8;;;;
65.12086106;1.314285714;0.8;;;;
45.15295499;1.331428571;0.8;;;;
25.13761252;1.475428571;1;;;;
35.07765166;1.456571429;1;;;;
45.09518591;1.420571429;1;;;;
55.1221135;1.418857143;1;;;;
65.14152642;1.389714286;1;;;;
