epp;epw;pp;vp;upp;upw;alfa;p
0.069;0.085;29.39;0.197;0.113;2;37.18;13.72
0.059;0.088;25.91;0.237;0.019;2;27.12;12.74
0.017;0.016;25.76;0.217;0.118;2;37.27;11.78
0.07;0.024;24.55;0.415;0.139;0.682;34.56;11.27
0.054;0.07;28.48;0.46;0.142;1;39.12;12.98
0.008;0.082;18.18;0.464;0.13;2;39.13;8.28
0.078;0.02;18.64;0.468;0.037;2;25.45;8.93
0.065;0.041;21.21;0.1;0.031;2;28.46;10.21
0.01;0.037;21.67;0.334;0.033;0.601;21.61;10.51
0.007;0.065;26.82;0.484;0.106;2;33.45;12.41
0.012;0.074;27.27;0.14;0.122;0.641;37.85;12.8
0.03;0.092;25.3;0.302;0.023;0.823;24.23;12.34
0.014;0.042;23.79;0.351;0.15;1;40.28;10.81
0.08;0.043;15.3;0.136;0.089;1;33.42;7.12
0.084;0.075;28.79;0.431;0.109;2;35;13.32
0.031;0.067;18.94;0.48;0.075;2;36.26;8.78
0.037;0.061;23.48;0.132;0.147;2;35.55;10.67
0.026;0.002;21.36;0.298;0.102;0.702;36.88;10
0.041;0.044;19.24;0.144;0.126;0.662;46.18;8.85
0.044;0.046;28.03;0.286;0.079;0.5;33.62;13.4
0.075;0.008;17.73;0.233;0.05;0.722;32.86;8.53
0.064;0.095;17.58;0.419;0.026;2;30.78;8.45
0.051;0.049;22.27;0.294;0.077;2;30.59;10.52
0.096;0.038;22.58;0.278;0.017;1;30.04;11.05
0.085;0.087;21.52;0.395;0.021;0.803;28.75;10.48
0.058;0.04;26.21;0.435;0.013;0.763;24.61;12.87
0.092;0.059;24.09;0.108;0.098;1;41.95;11.29
0.071;0.097;26.36;0.375;0.092;0.561;44.97;12.43
0.081;0.063;25.15;0.456;0.024;2;30.15;12.11
0.068;0.034;18.48;0.452;0.061;0.52;32.84;8.82
0.088;0.012;23.03;0.181;0.134;0.904;34.75;10.57
0.018;0.021;16.06;0.262;0.127;1.551;39.84;7.3
0.091;0.022;16.52;0.423;0.119;2.076;40.92;7.5
0.028;0.077;16.36;0.12;0.096;1.631;34.01;7.55
0.077;0.025;27.42;0.205;0.137;2.278;35.83;12.5
0.021;0.028;15.45;0.165;0.054;0.985;31.58;7.35
0.097;0.064;15.91;0.367;0.068;1.328;29.61;7.47
0.087;0.035;29.85;0.29;0.103;1.288;34.29;13.93
0.033;0.079;16.82;0.25;0.047;2.48;29.99;7.98
0.032;0.072;20.76;0.496;0.045;1.146;26.91;9.9
0.029;0.039;20.61;0.371;0.011;2.096;24.63;10
0.057;0.001;21.97;0.33;0.14;1.712;37.39;9.96
0.025;0.051;27.88;0.128;0.03;1.025;24.97;13.15
0.023;0.026;26.06;0.488;0.085;0.843;33.69;12.29
0.002;0.066;20.3;0.274;0.115;2.237;38.41;9.32
0.053;0.054;16.21;0.322;0.01;1.126;23.63;7.93
0.042;0.1;23.79;0.363;0.116;1.874;40.07;10.94
0.083;0.076;28.64;0.213;0.04;0.965;27.18;13.92
0.02;0.053;17.27;0.379;0.108;0.581;38.64;8.04
0.04;0.014;26.67;0.492;0.043;1.995;29.47;12.73
0.054;0.069;15;0.342;0.125;1.854;41.06;6.8
0.036;0.011;16.97;0.391;0.085;2.439;38.49;7.85
0.1;0.009;20.91;0.229;0.084;1.833;33.28;9.79
0.056;0.005;24.24;0.27;0.051;2.399;32.52;11.58
0.019;0.003;28.94;0.282;0.062;1.227;29.11;13.82
0.016;0.071;20.15;0.161;0.016;1.571;23.81;9.78
0.034;0.007;22.12;0.221;0.014;1.348;25.55;12.67
0.024;0.078;24.7;0.116;0.071;2.318;31.62;11.65
0.006;0.033;27.12;0.205;0.028;2.136;25.2;13.08
0.05;0.084;29.24;0.443;0.055;1.429;30.02;13.87
0;0.015;22.42;0.387;0.082;1.773;30.75;10.51
0.035;0.018;28.33;0.177;0.136;1.066;36.76;13.13
0.052;0.031;29.09;0.112;0.074;1.894;28.74;13.79
0.026;0.006;16.67;0.427;0.044;1.187;28.77;7.86
0.094;0.056;21.82;0.266;0.088;0.54;38.72;10.34
0.039;0.019;29.7;0.411;0.12;1.813;35.47;13.7
0.015;0.068;29.55;0.258;0.099;1.611;33.3;13.88
0.004;0.059;15.61;0.355;0.06;1.571;30.56;7.35
0.038;0.058;27.73;0.347;0.065;2.5;34.66;13.14
0.062;0.062;20.45;0.124;0.034;0.742;27.4;9.97
0.09;0.017;25.61;0.439;0.095;2.157;39.33;11.91
0.086;0.052;18.79;0.314;0.052;2.46;31.72;8.83
0.013;0.023;18.33;0.173;0.058;2.217;35.41;8.66
0.076;0.013;26.97;0.149;0.047;0.884;27.41;13.06
0.098;0.096;23.64;0.31;0.072;1.652;35.45;11.16
0.005;0.081;19.7;0.189;0.067;0.621;32.53;9.42
0.067;0.08;19.55;0.448;0.133;0.924;40.57;9.1
0.046;0.047;22.88;0.407;0.143;2.419;40.97;10.28
0.003;0.05;28.18;0.403;0.027;1.409;25.66;13.64
0.048;0.098;17.12;0.314;0.069;1.005;33.8;8.05
0.063;0.01;15.15;0.246;0.036;1.914;30.12;7.25
0.059;0.032;30;0.306;0.02;1.672;26.11;14.6
0.066;0.073;26.52;0.225;0.149;0.864;42.04;12.12
0.089;0.083;19.39;0.472;0.105;2.177;34.69;8.63
0.073;0;25;0.383;0.064;1.106;35.1;11.91
0.011;0.086;25.45;0.399;0.101;0.783;36.59;11.96
0.049;0.004;21.06;0.104;0.092;1.49;35.9;9.83
0.099;0.048;27.58;0.241;0.057;2.258;37.61;13.16
0.079;0.091;17.42;0.169;0.038;1.732;26.22;8.34
0.009;0.094;23.33;0.359;0.041;1.975;28.29;11.16
