x1,x2,x3,x4,x5,f3
0.03125,0.078125,0.703125,994.8506224066,1.0000006732,0.3194382825
0.03125,0.078125,1.328125,994.8506224066,1.0000006732,0.4028708502
0.03125,0.078125,1.953125,994.8506224066,1.0000006732,0.4344360642
0.03125,0.078125,2.578125,994.8506224066,1.0000006732,0.455977953
0.0203125,0.078125,1.5625,994.8506224066,1.0000006732,0.32
0.0234375,0.078125,1.5625,994.8506224066,1.0000006732,0.3492857143
0.0265625,0.078125,1.5625,994.8506224066,1.0000006732,0.38
0.03125,0.078125,1.5625,994.8506224066,1.0000006732,0.4142857143
0.0202531646,0.0632911392,1.2658227848,994.8506224066,1.0000006732,0.2792857143
0.025,0.125,1.5625,994.8506224066,1.0000006732,0.42
0.0164948454,0.0824742268,1.0309278351,994.8506224066,1.0000006732,0.2421428571
0.0202531646,0.1392405063,1.2658227848,994.8506224066,1.0000006732,0.365
0.0233333333,0.0666666667,1,1135.9294605809,1.0000006732,0.3265986324
0.0116666667,0.1666666667,1,1135.9294605809,0.2679493127,0.2061965247
0.0058333333,0.1666666667,1,1135.9294605809,1.0000006732,0.1253905464
0.0038888889,0.1666666667,1,1135.9294605809,1.0000006732,0.1261904762
0.0178571429,0.2857142857,1,1135.9294605809,0.2679493127,0.4527612079
0.0023364486,0.1962616822,1,1135.9294605809,0.2679493127,0.1069981221
0.0216666667,0.1666666667,1,945.0580912863,1.0000006732,0.4123930494
0.0142857143,0.1428571429,0.7142857143,2223.0663900415,0.1989124549,0.4685714286
0.0142857143,0.1428571429,1.4285714286,2223.0663900415,0.1989124549,0.5106321113
0.0142857143,0.1428571429,2.1428571429,2223.0663900415,0.1989124549,0.6313737587
0.0214285714,0.1428571429,1.0714285714,2223.0663900415,0.1989124549,0.629868791
0.0214285714,0.1428571429,1.7857142857,2223.0663900415,0.1989124549,0.660916031
0.0285714286,0.1428571429,0.7142857143,2223.0663900415,0.1989124549,0.7714285714
0.0285714286,0.1428571429,1.4285714286,2223.0663900415,0.1989124549,0.7874139085
0.0285714286,0.1428571429,2.1428571429,2223.0663900415,0.1989124549,0.9192241072
0.0357142857,0.1428571429,1.0714285714,2223.0663900415,0.1989124549,0.8532389271
0.0357142857,0.1428571429,1.7857142857,2223.0663900415,0.1989124549,0.9138982438
0.0142857143,0.0178571429,0.3571428571,2223.0663900415,0.1989124549,0.135360441
0.0142857143,0.0535714286,0.3571428571,2223.0663900415,0.1989124549,0.2757716447
0.0142857143,0.1428571429,0.3571428571,2223.0663900415,0.1989124549,0.476792001
0.0285714286,0.0357142857,0.3571428571,2223.0663900415,0.1989124549,0.2676904243
0.0285714286,0.0714285714,0.3571428571,2223.0663900415,0.1989124549,0.4909341367
0.05,0.0178571429,0.3571428571,2223.0663900415,0.1989124549,0.2747614921
0.05,0.0535714286,0.3571428571,2223.0663900415,0.1989124549,0.5141676452
0.05,0.1428571429,0.3571428571,2223.0663900415,0.1989124549,0.9455027817
0.01125,0.1283333333,1.2083333333,1330.7307692308,0.2679493127,0.3106814404
0.01125,0.1283333333,1.2083333333,1305.6037735849,0.2679493127,0.2800621004
0.01125,0.1283333333,1.2083333333,1330.7307692308,0.2679493127,0.3024184131
0.01125,0.1283333333,1.2083333333,1330.7307692308,0.2679493127,0.2894156796
0.01125,0.1175,1.2083333333,1343.6601941748,0.2679493127,0.299901755
0.01125,0.0883333333,1.2083333333,1330.7307692308,0.2679493127,0.2625713267
0.01125,0.1283333333,1.4166666667,1305.6037735849,0.2679493127,0.2940182455
0.01125,0.1283333333,1.5416666667,1330.7307692308,0.2679493127,0.3000422842
0.0095833333,0.1283333333,1.4166666667,994.2380952381,0.2679493127,0.2486952749
0.0116666667,0.1283333333,1.2083333333,881.8571428571,0.2679493127,0.2604741117
0.006,0.0684444444,0.5555555556,1318.0476190476,0.2679493127,0.0898990363
0.006,0.0684444444,0.6444444444,1318.0476190476,0.2679493127,0.0843080458
0.006,0.0684444444,0.6444444444,1318.0476190476,0.2679493127,0.0834691598
0.006,0.0684444444,0.6444444444,1318.0476190476,0.2679493127,0.0872441469
